tweet_id,airline,username,screen_name,location,creation_date,creation_time,text,sentiment,polarity,subjectivity,favorite_count,retweet_count,source,hashtags
1116264835656732672,Alaska Airlines,Pat's Travel Reviews,patstravelrevu,"San Diego, CA",2019-04-11,09:00:50,@AlaskaAir #B737 #FirstClass meal service from #honolulu to #sandiego https://t.co/QkuQsLWEbY #avgeek #Travel #aviation #aviationdaily #LuxuryTravel #Iflyalaska #AlaskaAirlines #HNL #SAN #inflightfeed #InflightMeal #inflightcatering #planefood #airplanemeal #patstravelreviews https://t.co/Byi2VFyR93,Neutral,0.0,0.0,0,1,Twitter for Android,"B737, FirstClass, honolulu, sandiego, avgeek, Travel, aviation, aviationdaily, LuxuryTravel, Iflyalaska, AlaskaAirlines, HNL, SAN, inflightfeed, InflightMeal, inflightcatering, planefood, airplanemeal, patstravelreviews"
1116232005686001665,Alaska Airlines,David Jenkins,DC_Jenkins,"Seattle, WA",2019-04-11,06:50:23,"One of my favorite approaches into Seattle. 
  
.
.
.
.
#pnw #pnwonderland #seattle #upperleftusa #city #fly #alaskaairlines #timelapse #vsco #vscofilters #travel https://t.co/MSWuiDkT7l",Positive,0.65,0.95,3,0,Instagram,"pnw, pnwonderland, seattle, upperleftusa, city, fly, alaskaairlines, timelapse, vsco, vscofilters, travel"
1116173225178869760,Alaska Airlines,Paul McCabe,mccabep,Canada,2019-04-11,02:56:49,"Heavens Gate... #heavensgate #alaskaairlines #seattle @ Shoreline, Washington https://t.co/YHiFo6q83J",Neutral,0.0,0.0,0,0,Instagram,"heavensgate, alaskaairlines, seattle"
1116167839919038464,Alaska Airlines,GAT Airline Support,GATAGSTeam,,2019-04-11,02:35:25,DFW working like a well oiled machine. #teamwork #aviation #WeAreGAT #alaskaairlines #dfw #TX #GAT #ontime @AlaskaAir https://t.co/GTI4FcTOjs,Neutral,0.0,0.0,0,0,Twitter for iPhone,"teamwork, aviation, WeAreGAT, alaskaairlines, dfw, TX, GAT, ontime"
1116115128989048832,Alaska Airlines,Pat's Travel Reviews,patstravelrevu,"San Diego, CA",2019-04-10,23:05:57,#planespotting at #HonoluluAirport bedore my #AlaskaAirlines #B738 8 to #SAN plus #AmericanAirlines #A321 #Westjet #B737 #AA #B777 &amp; #JapaneseGarden at #HNL #Iflyalaska https://t.co/QkuQsLWEbY #avgeek #aviation #aviationdaily #travel #airplanes #planeporn #HNL #patstravelreviews https://t.co/cpvjxSdpAw,Neutral,0.0,0.0,0,1,Twitter for Android,"planespotting, HonoluluAirport, AlaskaAirlines, B738, SAN, AmericanAirlines, A321, Westjet, B737, AA, B777, JapaneseGarden, HNL, Iflyalaska, avgeek, aviation, aviationdaily, travel, airplanes, planeporn, HNL, patstravelreviews"
1116054560034791424,Alaska Airlines,Angie Finley,SwansonsAngie,"West Hollywood, CA",2019-04-10,19:05:17,"The Swansons tour bus has arrived!! Off to #Chicago!! See yall in #Joliet tomorrow night at Longshots Sports Bar &amp; Grill!! Showtime 8PM. 4/11 #Nashville #recording #artists #AlternativeCountry https://t.co/ceezWgtYZD
 #alaskaairlines #travel  #swansons #music #lax #ord #tour https://t.co/kYlMM2tlI2",Neutral,0.0,0.0,0,0,Twitter for iPhone,"Chicago, Joliet, Nashville, recording, artists, AlternativeCountry, alaskaairlines, travel, swansons, music, lax, ord, tour"
1116030018625462272,Alaska Airlines,theJasmineBRAND.com,thejasminebrand,Anywhere There's Internet,2019-04-10,17:27:45,"A cross-country flight was diverted to #Chicago early Wednesday after a passenger lit a cigarette then became ""belligerent"" when a flight attendant told him to put it out, officials said. #AlaskaAirlines flight 1138, headed from San Francisco to Philadel... https://t.co/uGh3msMrh5 https://t.co/v5d2AvEjku",Positive,0.15000000000000002,0.35,1,0,IFTTT,"Chicago, AlaskaAirlines"
1116028714876194816,Alaska Airlines,PsychicRailfan,PsychicRailfan,Abandoned Railvillage,2019-04-10,17:22:35,"uhhh @AlaskaAir 
#N519AS #AlaskaAirlines #PlaneHUB #Boeing #BoeingLovers #ProudlyAllBoeing not #Lmao https://t.co/oAxmwXlRAx",Negative,-0.3,1.0,0,0,Twitter Web Client,"N519AS, AlaskaAirlines, PlaneHUB, Boeing, BoeingLovers, ProudlyAllBoeing, Lmao"
1116014373976199169,Alaska Airlines,Alaska Airlines Fleet Updates,AlaskaFleet,"Portland, OR",2019-04-10,16:25:35,#N528VA to VCV for painting. It is the last A319 to be repainted. #alaskaairlines #airbusa319,Neutral,0.0,0.06666666666666667,2,0,Twitter for Android,"N528VA, alaskaairlines, airbusa319"
1115996783396642817,Alaska Airlines,AIRLINE VIDEOS,airlinevideos,"Los Angeles, CA",2019-04-10,15:15:42,#AlaskaAirlines #AirbusA319 flight AS1437 from #SanJose arrives at #LAX during the golden hour #Airbus A319-112  Reg: N525VA #planespotting #planespotter #avgeek #aviationdaily #aviationlovers #airplanes #airliners #airplane #a319 #goldenhour @AlaskaAir @Airbus @flyLAXairport https://t.co/hYUbXiEe3e,Positive,0.3,0.5,10,3,Twitter for iPhone,"AlaskaAirlines, AirbusA319, SanJose, LAX, Airbus, planespotting, planespotter, avgeek, aviationdaily, aviationlovers, airplanes, airliners, airplane, a319, goldenhour"
