handle,tweets,is_retweet,retweet_count,favorite_count,hour,month_f,day,year,text,hashtag
HillaryClinton,question election put plans action make life better,False,218,651,0,SEP,28,2016,question election put plans action make life better,[]
HillaryClinton,last night donald trump said paying taxes smart know call unpatriotic,True,2445,5308,23,SEP,27,2016,last night donald trump said paying taxes smart know call unpatriotic,[]
HillaryClinton,proud vision command last night debate showed ready next,True,7834,27234,23,SEP,27,2016,proud vision command last night debate showed ready next,[]
HillaryClinton,stand together nothing make sure ready vote,False,916,2542,23,SEP,27,2016,stand together nothing make sure ready vote,[]
HillaryClinton,candidates asked confront racial injustice one real answer,False,859,2882,22,SEP,27,2016,candidates asked confront racial injustice one real answer,[]
realDonaldTrump,join pm rally tomorrow mid america center council bluffs iowa tickets,False,2181,6172,22,SEP,27,2016,join pm rally tomorrow mid america center council bluffs iowa tickets,[]
HillaryClinton,election important sit go,False,1303,2849,21,SEP,27,2016,election important sit go,[]
HillaryClinton,donald trump goes low register vote,False,1833,4954,21,SEP,27,2016,donald trump goes low register vote,[]
realDonaldTrump,government people join movement today,False,4132,11239,21,SEP,27,2016,government people join movement today,[]
HillaryClinton,trump offered single proposal reduce friction starting business,True,1087,2824,21,SEP,27,2016,trump offered single proposal reduce friction starting business,[]
HillaryClinton,election weeks away check registered vote,True,3347,7698,20,SEP,27,2016,election weeks away check registered vote,[]
realDonaldTrump,national make sure registered vote,True,2953,6963,20,SEP,27,2016,national make sure registered vote,[]
realDonaldTrump,hillary clinton campaign continues make false claims foundation disclosure,False,3833,9840,20,SEP,27,2016,hillary clinton campaign continues make false claims foundation disclosure,[]
realDonaldTrump,cnbc time magazine online polls say donald trump first presidential debate via,False,4236,10948,20,SEP,27,2016,cnbc time magazine online polls say donald trump first presidential debate via,[]
HillaryClinton,donald trump lied american people least times first presidential debate counted,False,5379,8917,19,SEP,27,2016,donald trump lied american people least times first presidential debate counted,[]
realDonaldTrump,great afternoon little havana hispanic community leaders thank support,False,4878,14110,19,SEP,27,2016,great afternoon little havana hispanic community leaders thank support,[]
realDonaldTrump,last hrs raised online donations national call day still going thank america,False,6939,23330,19,SEP,27,2016,last hrs raised online donations national call day still going thank america,[]
HillaryClinton,gained pounds months like eating machine trump man wants president,False,2058,3714,19,SEP,27,2016,gained pounds months like eating machine trump man wants president,[]
HillaryClinton,celebrate registering vote,False,1792,3500,18,SEP,27,2016,celebrate registering vote,[]
HillaryClinton,love country proud country want leader brings people together hillary,False,1437,5053,18,SEP,27,2016,love country proud country want leader brings people together hillary,[]
HillaryClinton,want turn want work one another want set big goals country,False,976,3313,18,SEP,27,2016,want turn want work one another want set big goals country,[]
HillaryClinton,hear opponent dangerously incoherent unclear saying words matter hillary,False,957,2968,18,SEP,27,2016,hear opponent dangerously incoherent unclear saying words matter hillary,[]
HillaryClinton,one candidate made clear prepared last night debate made clear prepared b,False,3336,9961,18,SEP,27,2016,one candidate made clear prepared last night debate made clear prepared b,[]
HillaryClinton,kind person would want root million families losing homes one never president hillary trump,False,1127,3216,18,SEP,27,2016,kind person would want root million families losing homes one never president hillary trump,[]
HillaryClinton,think family pay income child care hillary,False,586,1681,17,SEP,27,2016,think family pay income child care hillary,[]
HillaryClinton,really glad dad never contract donald trump hillary,False,1580,2967,17,SEP,27,2016,really glad dad never contract donald trump hillary,[]
HillaryClinton,work hard living poverty,False,557,1633,17,SEP,27,2016,work hard living poverty,[]
realDonaldTrump,well saying nbc presidential forum last night big debate nice,False,8534,28578,17,SEP,27,2016,well saying nbc presidential forum last night big debate nice,[]
HillaryClinton,may record setting turnout election could biggest turnout ever,False,556,1546,17,SEP,27,2016,may record setting turnout election could biggest turnout ever,[]
HillaryClinton,go,False,661,1326,17,SEP,27,2016,go,[]
HillaryClinton,join hillary live nc first rally since winning last night debate,False,1115,3941,17,SEP,27,2016,join hillary live nc first rally since winning last night debate,[]
HillaryClinton,everything feeling please,True,1328,2435,17,SEP,27,2016,everything feeling please,[]
HillaryClinton,donald criticized preparing debate know else prepared prepared,False,6185,16805,17,SEP,27,2016,donald criticized preparing debate know else prepared prepared,[]
realDonaldTrump,thank endorsement,False,4191,13152,16,SEP,27,2016,thank endorsement,[]
HillaryClinton,hillary winner first presidential debate newspapers across america agree,False,2593,6269,16,SEP,27,2016,hillary winner first presidential debate newspapers across america agree,[]
HillaryClinton,trump sobre alicia machado en miss piggy esta mañana aumentó mucho de peso era un problema serio,True,2252,3264,16,SEP,27,2016,trump sobre alicia machado en miss piggy esta mañana aumentó mucho de peso era un problema serio,[]
HillaryClinton,register vote democrats like,True,1235,3206,16,SEP,27,2016,register vote democrats like,[]
HillaryClinton,fortunate meet young americans country make choices mine,True,804,2086,16,SEP,27,2016,fortunate meet young americans country make choices mine,[]
HillaryClinton,gained massive amount weight real problem trump morning alicia machado,False,4829,7580,16,SEP,27,2016,gained massive amount weight real problem trump morning alicia machado,[]
HillaryClinton,today beaten left bloody amp unconscious every person could register vote part,True,20006,24333,16,SEP,27,2016,today beaten left bloody amp unconscious every person could register vote part,[]
HillaryClinton,million americans registered vote better get registered amp spread word,True,1138,1554,16,SEP,27,2016,million americans registered vote better get registered amp spread word,[]
HillaryClinton,really really good night,False,8242,35744,15,SEP,27,2016,really really good night,[]
realDonaldTrump,great honor final debate polls movement wins,False,13576,27245,15,SEP,27,2016,great honor final debate polls movement wins,[]
HillaryClinton,register vote go get engaged,False,1350,2874,15,SEP,27,2016,register vote go get engaged,[]
HillaryClinton,glad trump found crimea part ukraine way heard verge acknowledging gravity,False,5557,16289,15,SEP,27,2016,glad trump found crimea part ukraine way heard verge acknowledging gravity,[]
HillaryClinton,let tell built damn country middle class let keep building together,False,1453,4741,15,SEP,27,2016,let tell built damn country middle class let keep building together,[]
HillaryClinton,one moment last night proved hillary candidate ready lead global stage,False,1452,4840,15,SEP,27,2016,one moment last night proved hillary candidate ready lead global stage,[]
realDonaldTrump,u murders increased via,False,5365,10729,14,SEP,27,2016,u murders increased via,[]
HillaryClinton,anyone complains microphone problems good night hillary,False,4773,14979,14,SEP,27,2016,anyone complains microphone problems good night hillary,[]
realDonaldTrump,thank,False,7255,17380,14,SEP,27,2016,thank,[]
realDonaldTrump,hillary failing years getting job done never change,False,12127,31856,14,SEP,27,2016,hillary failing years getting job done never change,[]
HillaryClinton,trump alicia miss piggy morning gained massive amount weight real problem,False,16476,22611,13,SEP,27,2016,trump alicia miss piggy morning gained massive amount weight real problem,[]
realDonaldTrump,true blue collar billionaire donald trump shows hillary clinton touch,False,5827,14338,13,SEP,27,2016,true blue collar billionaire donald trump shows hillary clinton touch,[]
realDonaldTrump,trend twitter right thank,False,19561,52449,13,SEP,27,2016,trend twitter right thank,[]
realDonaldTrump,every poll last nights presidential debate except little watched poll,False,9598,29309,13,SEP,27,2016,every poll last nights presidential debate except little watched poll,[]
realDonaldTrump,trump bar full undecideds democrats,False,6704,15988,12,SEP,27,2016,trump bar full undecideds democrats,[]
realDonaldTrump,really enjoyed debate last night crooked hillary says going many things done last years,False,21628,59791,12,SEP,27,2016,really enjoyed debate last night crooked hillary says going many things done last years,[]
HillaryClinton,winning temperament donald trump last night really,False,4120,10456,12,SEP,27,2016,winning temperament donald trump last night really,[]
HillaryClinton,one person last night stage prepared commander chief make sure gets chance,False,6253,17113,11,SEP,27,2016,one person last night stage prepared commander chief make sure gets chance,[]
realDonaldTrump,great debate poll numbers discuss enjoy,False,4437,16423,10,SEP,27,2016,great debate poll numbers discuss enjoy,[]
realDonaldTrump,thank four new polls movement winning together make america safe amp great,False,10829,24078,6,SEP,27,2016,thank four new polls movement winning together make america safe amp great,[]
realDonaldTrump,first presidential debate poll trump clinton join movement today amp lets,False,10763,24643,5,SEP,27,2016,first presidential debate poll trump clinton join movement today amp lets,[]
realDonaldTrump,thank cnbc poll votes trump clinton,False,16167,34480,5,SEP,27,2016,thank cnbc poll votes trump clinton,[]
realDonaldTrump,time poll votes thank,False,12479,27258,5,SEP,27,2016,time poll votes thank,[]
realDonaldTrump,said historic victory trump nice,False,7709,24434,5,SEP,27,2016,said historic victory trump nice,[]
HillaryClinton,tonight proved ready president donald trump proved,True,10733,30012,5,SEP,27,2016,tonight proved ready president donald trump proved,[]
realDonaldTrump,wow great debate polls except watch thank,False,12739,40321,4,SEP,27,2016,wow great debate polls except watch thank,[]
HillaryClinton,days left let go win thing,False,6505,21912,4,SEP,27,2016,days left let go win thing,[]
realDonaldTrump,thank governor,False,5578,14830,4,SEP,27,2016,thank governor,[]
realDonaldTrump,thank governor lets make america safe great american people,False,7350,22113,4,SEP,27,2016,thank governor lets make america safe great american people,[]
realDonaldTrump,thank senator,False,18519,39447,3,SEP,27,2016,thank senator,[]
HillaryClinton,girls clear candidate prepared president,True,3229,10833,3,SEP,27,2016,girls clear candidate prepared president,[]
HillaryClinton,,False,36243,72815,3,SEP,27,2016,,[]
HillaryClinton,donald trump called miss piggy miss housekeeping name alicia machado,False,57182,74103,3,SEP,27,2016,donald trump called miss piggy miss housekeeping name alicia machado,[]
HillaryClinton,hillary clinton needed,True,2277,6913,3,SEP,27,2016,hillary clinton needed,[]
HillaryClinton,tonight heard two candidates one president,True,7576,20896,3,SEP,27,2016,tonight heard two candidates one president,[]
HillaryClinton,hillary big time shut,True,4682,12991,3,SEP,27,2016,hillary big time shut,[]
HillaryClinton,clinton debate part stamina trump flagged badly minutes,True,8546,22141,3,SEP,27,2016,clinton debate part stamina trump flagged badly minutes,[]
HillaryClinton,presidency reality show real gets make sure registered vote,False,8550,20188,2,SEP,27,2016,presidency reality show real gets make sure registered vote,[]
HillaryClinton,text imwithher tell hillary team way election day,False,3134,12026,2,SEP,27,2016,text imwithher tell hillary team way election day,[]
HillaryClinton,gracias señora su respeto las mujeres nuestras diferencias la hacen grande estoy con usted,True,11939,22707,2,SEP,27,2016,gracias señora su respeto las mujeres nuestras diferencias la hacen grande estoy con usted,[]
HillaryClinton,rt proud standing hillary tonight,False,80169,80678,2,SEP,27,2016,rt proud standing hillary tonight,[]
HillaryClinton,hillary proved candidate ready president chip let go win thing,False,5065,16336,2,SEP,27,2016,hillary proved candidate ready president chip let go win thing,[]
realDonaldTrump,nuclear agreement paved way million ransom payment,False,8575,19522,2,SEP,27,2016,nuclear agreement paved way million ransom payment,[]
realDonaldTrump,nothing emails nothing corrupt clinton foundation nothing,False,30921,56562,2,SEP,27,2016,nothing emails nothing corrupt clinton foundation nothing,[]
HillaryClinton,donald trump says winning temperament,False,26656,48875,2,SEP,27,2016,donald trump says winning temperament,[]
HillaryClinton,woman trump called miss piggy name alicia,False,23394,36574,2,SEP,27,2016,woman trump called miss piggy name alicia,[]
realDonaldTrump,obama strategy allowed expand become global threat,False,6680,15499,2,SEP,27,2016,obama strategy allowed expand become global threat,[]
HillaryClinton,donald trump spends hours testifying front congressional committee talk stamina hillary,False,20652,46042,2,SEP,27,2016,donald trump spends hours testifying front congressional committee talk stamina hillary,[]
realDonaldTrump,calling support nafta searched moment tonight debate,True,6139,13209,2,SEP,27,2016,calling support nafta searched moment tonight debate,[]
HillaryClinton,donald trump cavalier attitude nuclear weapons deeply troubling,False,5011,13026,2,SEP,27,2016,donald trump cavalier attitude nuclear weapons deeply troubling,[]
realDonaldTrump,russia warheads ever n korea testing nukes iran got sweetheart deal keep thanks,False,11851,26791,2,SEP,27,2016,russia warheads ever n korea testing nukes iran got sweetheart deal keep thanks,[]
HillaryClinton,barack obama president,False,17402,38775,2,SEP,27,2016,barack obama president,[]
HillaryClinton,man provoked tweet hands anywhere near nuclear codes,False,45008,82338,2,SEP,27,2016,man provoked tweet hands anywhere near nuclear codes,[]
realDonaldTrump,hillary clinton failed world libya syria iran iraq asia pivot russian reset benghazi,False,21745,40457,2,SEP,27,2016,hillary clinton failed world libya syria iran iraq asia pivot russian reset benghazi,[]
HillaryClinton,go without saying taking nuclear war lightly disqualifying anyone seeking president th,False,5820,13113,2,SEP,27,2016,go without saying taking nuclear war lightly disqualifying anyone seeking president th,[]
HillaryClinton,donald trump says better temperament hillary clinton fact check donald trump,True,5646,10367,2,SEP,27,2016,donald trump says better temperament hillary clinton fact check donald trump,[]
realDonaldTrump,true gt right call tpp gold standard,True,7419,12728,2,SEP,27,2016,true gt right call tpp gold standard,[]
realDonaldTrump,hillary clinton candidate stage voted iraq war,False,9001,20725,2,SEP,27,2016,hillary clinton candidate stage voted iraq war,[]
realDonaldTrump,campaign supporters trafficked rumors obama heritage,False,5763,12471,2,SEP,27,2016,campaign supporters trafficked rumors obama heritage,[]
realDonaldTrump,hillary policies made america less safe general military leaders endorsed,True,4741,10739,2,SEP,27,2016,hillary policies made america less safe general military leaders endorsed,[]
HillaryClinton,hope fact checkers turning volume donald trump supported invasion iraq,False,7062,12598,2,SEP,27,2016,hope fact checkers turning volume donald trump supported invasion iraq,[]
HillaryClinton,still true,True,1387,2339,2,SEP,27,2016,still true,[]
HillaryClinton,deal donald trump russia,False,2540,4893,2,SEP,27,2016,deal donald trump russia,[]
HillaryClinton,trump top russia advisor probed meeting kremlin aide charge us election intelligence,True,1213,1638,2,SEP,27,2016,trump top russia advisor probed meeting kremlin aide charge us election intelligence,[]
realDonaldTrump,jesse jackson donated space rainbow push coalition,True,5055,8520,2,SEP,27,2016,jesse jackson donated space rainbow push coalition,[]
HillaryClinton,donald trump goes low go high,False,6189,16416,2,SEP,27,2016,donald trump goes low go high,[]
HillaryClinton,man sued discriminating black tenants amp pushes birtherism giving idea kind president,False,13915,26574,2,SEP,27,2016,man sued discriminating black tenants amp pushes birtherism giving idea kind president,[]
HillaryClinton,one business practices led donald trump sued discrimination,True,1523,1946,2,SEP,27,2016,one business practices led donald trump sued discrimination,[]
HillaryClinton,donald trump answer five years pushing racist birther conspiracy theory say nothing,False,6274,13551,2,SEP,27,2016,donald trump answer five years pushing racist birther conspiracy theory say nothing,[]
HillaryClinton,trump criticized preparing debate know else prepared president,False,51681,102655,2,SEP,27,2016,trump criticized preparing debate know else prepared president,[]
HillaryClinton,president obama born united states american trump one reason refusing admit,False,6818,17734,2,SEP,27,2016,president obama born united states american trump one reason refusing admit,[]
HillaryClinton,still complete lie,False,4564,7201,1,SEP,27,2016,still complete lie,[]
HillaryClinton,donald trump concerned pandering gun lobby keeping families safe,False,7324,13832,1,SEP,27,2016,donald trump concerned pandering gun lobby keeping families safe,[]
HillaryClinton,fact trump answer question racial injustice need law order pretty much says,False,10882,21951,1,SEP,27,2016,fact trump answer question racial injustice need law order pretty much says,[]
HillaryClinton,got address systemic racism criminal justice system end private prisons,False,2587,6006,1,SEP,27,2016,got address systemic racism criminal justice system end private prisons,[]
HillaryClinton,hillary clinton took charge first presidential debate,True,1259,2676,1,SEP,27,2016,hillary clinton took charge first presidential debate,[]
realDonaldTrump,stand police protect americans,False,12173,33572,1,SEP,27,2016,stand police protect americans,[]
HillaryClinton,going bring new york unconstitutional stop frisk program nationwide,False,6923,17156,1,SEP,27,2016,going bring new york unconstitutional stop frisk program nationwide,[]
realDonaldTrump,potus families going safe secure law order restored,True,4550,11239,1,SEP,27,2016,potus families going safe secure law order restored,[]
HillaryClinton,maybe good job donald trump looks like loved time,False,4435,8347,1,SEP,27,2016,maybe good job donald trump looks like loved time,[]
realDonaldTrump,watch stakes election,True,1936,5930,1,SEP,27,2016,watch stakes election,[]
HillaryClinton,time country somebody running idea money trump,False,2469,5868,1,SEP,27,2016,time country somebody running idea money trump,[]
HillaryClinton,paying zero taxes make smart makes tax evader,False,20195,33668,1,SEP,27,2016,paying zero taxes make smart makes tax evader,[]
